key,outbrain_id,outbrain_name
800,ab7fbf18db5c315f8d2e8cf042427920,"DMA 800"
765,33b00ecd8fcff6cf85fe6b30b20cfc0a,"DMA 765"
538,db6d63d5c1b3d331def8f6171ae0b11a,"DMA 538"
571,5b8378b81614834ff450b64358bfcb2d,"DMA 571"
760,61d047e240d7767fa219cc94f2156d3c,"DMA 760"
710,48e321e055e6f34f575694d548feb5ad,"DMA 710"
555,2e120e59cc715d33027c648e14899eed,"DMA 555"
542,44bf88c7c0685a68d3bb67ca58468698,"DMA 542"
513,7716d761b86665e9af438e687db0166c,"DMA 513"
626,601461895a362832e6e8a89413484462,"DMA 626"
575,9786865a18a1cff052480b8ebf57d3dc,"DMA 575"
789,b4f1be60e0a274bea1eb083e1a568442,"DMA 789"
503,8de86e47b4642b15aaa268316f440524,"DMA 503"
563,980ba0909fa27cfdbc15b767ef14dc8f,"DMA 563"
505,1c249ed97c7a52920c54a36c9f35e6de,"DMA 505"
755,f293209d9ed65e6d0f3b74d5c403660f,"DMA 755"
682,87bfea9312a290462a3151c4a1295f8e,"DMA 682"
567,ca0c9e1af1fea66b1b1e0a40bd41ff9b,"DMA 567"
554,989370f4e22851c220c67bbd8bb8d874,"DMA 554"
549,f42418a9cd14b9835700bddf9988e15f,"DMA 549"
670,d79ab7616e6effe1aa19a9523d91c0d2,"DMA 670"
676,62794912f0d860dcbc0be90a11d58e31,"DMA 676"
543,ab2338f55a839e930247446a2668fadc,"DMA 543"
649,1c25ed714f7ed3c7e3f9096aa889c1a2,"DMA 649"
616,eb0e00b8a5fa99a574216c04d1f927f3,"DMA 616"
743,52be0551de497cc2dd3e1a6c07364ca1,"DMA 743"
612,1c714253bb141ad5211cdbf01c4a268d,"DMA 612"
559,8fab1fd9b5e95cac88433ccbf49a05f4,"DMA 559"
725,b70dd8aa090b020f6bd46fa8b22d30d0,"DMA 725"
617,092b24f5c47e5a1be8824a9842faa75e,"DMA 617"
766,b14e30f75b83447af99667a173997fdb,"DMA 766"
756,1d6ac55df4c2ef7c33c454702dc56a56,"DMA 756"
581,74ec28987e09c1a0c9d305d7db2190f4,"DMA 581"
516,c64ebf499cb0be6e4e7b81d2e0c6a9c7,"DMA 516"
771,b84ac78edef62e409afbc4b503548a9e,"DMA 771"
635,db75e3e8011d698903e81b0e5534545d,"DMA 635"
657,004be01dead286ae338257c693ad6c57,"DMA 657"
762,8da51fd02b520b4ce1871d9cfe24600f,"DMA 762"
605,14f20589b7483b2e9f6d63ee692cdfdf,"DMA 605"
804,41f2d793d4e7de1e5bfb90cd814b6d92,"DMA 804"
821,2583669361a27ca5bb0808da5f6c0098,"DMA 821"
624,f2d89338f2e0ee1a1b98da2dec606df9,"DMA 624"
512,64a4a4ca840d1e7c19909bafdd6dfbb9,"DMA 512"
855,01c662e0483059ba288df1d9a09b91a4,"DMA 855"
546,2be10fa0d9c485b5c7c2a7355b3975ce,"DMA 546"
526,035c4d6cb9900d264789a6345f7643fa,"DMA 526"
722,d07ee7dd05968c4bedb32e4ca4766263,"DMA 722"
565,82781862a2dc3a257adc44169e89ccc5,"DMA 565"
659,7f66fb97c36b33c12e7ec5c214bd71bd,"DMA 659"
574,9be0f2dbb17eec89905ac7ab07a1f945,"DMA 574"
588,3cff96038118a741d85148fb19b20f1f,"DMA 588"
650,066bc80133a40ca08a6bd0ae2b025e01,"DMA 650"
609,a0d462cc6cdc5147ff05099fcfa9276f,"DMA 609"
709,96c24ccdd8a29bc03b0cd31fe4cf90e6,"DMA 709"
540,326fc6e0c3f3b6d2e4d546f044598c25,"DMA 540"
798,bec115faf27ee3155fdedc1570e7928e,"DMA 798"
648,7a19343298f72659ac8bf5c061eeff61,"DMA 648"
716,39c0a6fe2a72efa3919b4ce66eca545e,"DMA 716"
639,89dc48cc557a952005ee813e11f262dc,"DMA 639"
506,e9975dfe5c0199baf4192d9aa4fa35dd,"DMA 506"
628,9d24263dc8f1f7f64c3439bddf389248,"DMA 628"
740,abfba23c0168ae78558aee3d753bb08d,"DMA 740"
705,cc8f25eecc2551e307e449b85c968567,"DMA 705"
679,0c5b496197805f5f5ebc449740490162,"DMA 679"
698,a84f23c097b5e85c9dc69401392b6396,"DMA 698"
757,b6eb5951be628a5b6107af690d8ed3df,"DMA 757"
803,573f8ce9a4653da09d3eacd2b172952f,"DMA 803"
711,89aa769f3bee85680b7d6889a0b06cfa,"DMA 711"
656,ce225013bb3305eef879ed351223c46e,"DMA 656"
522,9c664e719c06179ad3de532c80ebf105,"DMA 522"
819,ab44db92d2def1cbb3e75798e4fc1107,"DMA 819"
767,22421ca4c87133517e5bf48fb4d52b9e,"DMA 767"
751,839be7f9c9d8bdd1c62cb2249d1251ad,"DMA 751"
839,b134d463387989a6e3764e333a7c4957,"DMA 839"
644,a0f0c09e973f44b913d3b8457c3a524b,"DMA 644"
627,8e5f2bc357512ef2cd8aaa5fd955e1f9,"DMA 627"
828,9a7af73ca15622d563c1a4dc4ee5e1de,"DMA 828"
570,c41ea0fa31dab5065a21f0bff437c81a,"DMA 570"
525,1d3856d068fd8e5099b75cc351f6842f,"DMA 525"
678,53d43b2753ce93d13434560c4751e171,"DMA 678"
531,8297d14e6dd933ba9b066f7b92d14d3f,"DMA 531"
717,c5175fe91c796833d6f6ff46dea0f1b4,"DMA 717"
638,99330001585c1a98e6d45b5b749f5a01,"DMA 638"
604,e16ea922aaf5280cc70ad0ed20ff8d5f,"DMA 604"
759,5a5a865420c419a001f244aba877072e,"DMA 759"
548,40fa0e90e884d61d6ff956e9a21c9dfe,"DMA 548"
642,d1e3e4166597c08e5981e189ae859e21,"DMA 642"
618,da2c35fda273ba8f3e6cf19c9f2b1be5,"DMA 618"
577,2b9891617bb8c76d26819d501374976a,"DMA 577"
736,f2678b91a5be5cd30ded5f88eaf17c19,"DMA 736"
535,722f9e3c4da3f3a5c57ba44e833b2e61,"DMA 535"
802,5daebb29283e93e60d5bb482eceaf0f2,"DMA 802"
592,7935354770256d513f4e3eed6eef7e49,"DMA 592"
517,4f7a74a47679b59cc219d69d5f2a829a,"DMA 517"
539,24da6604b9a83c9d88a6de1acf5da468,"DMA 539"
507,101273d271d1ef9283c3d8713cbbea68,"DMA 507"
724,d45f3a9119a6d1dfce075a8849afb18c,"DMA 724"
669,e828d33c4f79e6795f36c34bcbed447e,"DMA 669"
523,a8488d4b8f1e958bb5dee728956461f8,"DMA 523"
633,19ca594b7bca8fe0e61fba3bbd88756b,"DMA 633"
737,d285365c95c617fe6a10752d21e3ad54,"DMA 737"
687,e8c3b38591542e3917da4c3bb59aff16,"DMA 687"
552,1ff1aaa59b5bcf3de3523f4ef7e324cf,"DMA 552"
509,16342af5fa240cd73de83f57f25169d6,"DMA 509"
553,a2c41a6519d727856d4cb93c3eb9b7ae,"DMA 553"
651,d88cd17df0a12d12248d3fb039882f48,"DMA 651"
662,2291141803b0ae0a22cb7f5bcd36a00c,"DMA 662"
686,8f0b754292e56b6fd7ae1b3e9eeb3917,"DMA 686"
524,951ad925ef8f30fde2d818e8a50583c8,"DMA 524"
510,120df1f52dd52f747e6be00468e34033,"DMA 510"
501,f691199768231ac6581df0e6520ed445,"DMA 501"
530,22b0fdc141fb932f23abef049bed1423,"DMA 530"
636,d4d893baa040db129c4bd8abf28072df,"DMA 636"
691,19cdb52b60ac2098611d1cb50151f229,"DMA 691"
582,a4ff15ac279d828ac4ca997d5d599f80,"DMA 582"
502,0b5757a966bc86356f3edfe208f19f6a,"DMA 502"
671,a8ccd687ec3ec168faac575cc20c7408,"DMA 671"
500,5c70018bdd7122751cebb194b8c5c344,"DMA 500"
566,9cadfd8f630cc85851931dcbcffe49c7,"DMA 566"
820,5711a9364206da099a43d3e599a88e36,"DMA 820"
754,9b3c394502b78f1834c1d05c91060d0e,"DMA 754"
527,8035c09d462d1ea49bad01aeb8169b6f,"DMA 527"
504,587d4c00b151644f8b70b8e7140bcda9,"DMA 504"
640,ada575abcb00531800083ad34c419572,"DMA 640"
551,35baf358dd81861aa884db84602549d7,"DMA 551"
556,16ae16cd93d5832cffe1f596517d43bc,"DMA 556"
557,7d07be4fc6ce5f07729e21ed2557397e,"DMA 557"
610,814898ffb42b6c05410d5d8d5693b58e,"DMA 610"
564,d133ab56d918b49bbdd1ed6025bf6791,"DMA 564"
569,a94db5ef4dc02c14cef823793405f1c9,"DMA 569"
790,1642d85290c0503e7a420126b2643094,"DMA 790"
611,0c72439ca12e1af4940c05966a418f5c,"DMA 611"
773,f9edddae8a090b7db92102603e68bb78,"DMA 773"
718,3ca027a0a38b2c3f06c4677274989e9c,"DMA 718"
596,fa562d48832a8e33049b02bc58d3ed5e,"DMA 596"
764,8f9bad69b79479362c689f98c9d3f2dc,"DMA 764"
745,f2320624d1e3d99b35592c9cd43f1428,"DMA 745"
634,b330fd7ebd02cd68f8c6eca1b1cc94ef,"DMA 634"
632,f9203a6418883a67c594ebc9302d6e2a,"DMA 632"
613,ca35990b8879f8cae31f77839be42a4a,"DMA 613"
583,e05077b48b1c66731ccfdc1dad8075ff,"DMA 583"
810,366f45a7e8bdedb8ff141c77906c0505,"DMA 810"
547,b3c23c56ecd3cb81b112d77f86b47830,"DMA 547"
519,89b24c59834e09f4dd2c2fcbd6bccc76,"DMA 519"
528,884b5df9eefb7467c017759f6ac665af,"DMA 528"
637,3a4732d7b4fba5a356dc4cb621c4906d,"DMA 637"
511,8b29e0a0074779064c9eda5835b924f0,"DMA 511"
811,af0c25b96a5919bc634978d9b140e37a,"DMA 811"
