key,woeid,yahoo_name
800,24700963,"DMA 800"
765,24701009,"DMA 765"
538,24701108,"DMA 538"
571,26821183,"DMA 571"
632,26821186,"DMA 632"
760,24701143,"DMA 760"
710,24701037,"DMA 710"
635,24700962,"DMA 635"
542,24701003,"DMA 542"
513,26821170,"DMA 513"
626,24701146,"DMA 626"
575,24700988,"DMA 575"
789,24701140,"DMA 789"
503,24701066,"DMA 503"
563,26821181,"DMA 563"
505,24701006,"DMA 505"
693,24701062,"DMA 693"
790,24700953,"DMA 790"
567,24701031,"DMA 567"
622,24701082,"DMA 622"
549,24701148,"DMA 549"
670,24701020,"DMA 670"
676,26821191,"DMA 676"
543,24701129,"DMA 543"
673,24700999,"DMA 673"
616,24701051,"DMA 616"
743,24700957,"DMA 743"
612,24701123,"DMA 612"
559,26821180,"DMA 559"
725,24701125,"DMA 725"
617,24701074,"DMA 617"
766,24701038,"DMA 766"
756,24700969,"DMA 756"
687,24700973,"DMA 687"
581,24701134,"DMA 581"
584,24700987,"DMA 584"
771,24701158,"DMA 771"
555,24701131,"DMA 555"
657,24700959,"DMA 657"
762,24701076,"DMA 762"
605,24701136,"DMA 605"
804,26821250,"DMA 804"
821,24700968,"DMA 821"
624,24701124,"DMA 624"
512,24700964,"DMA 512"
855,26821197,"DMA 855"
828,24701079,"DMA 828"
526,24701145,"DMA 526"
722,24701061,"DMA 722"
565,24701010,"DMA 565"
659,24701081,"DMA 659"
574,24701048,"DMA 574"
588,24701126,"DMA 588"
650,24701086,"DMA 650"
569,24701035,"DMA 569"
709,26821193,"DMA 709"
540,26821174,"DMA 540"
798,26821195,"DMA 798"
648,26821189,"DMA 648"
758,24701042,"DMA 758"
639,24701045,"DMA 639"
506,24700976,"DMA 506"
628,26821185,"DMA 628"
740,24701084,"DMA 740"
705,24701149,"DMA 705"
679,24701005,"DMA 679"
698,24701080,"DMA 698"
757,24700975,"DMA 757"
803,24701063,"DMA 803"
711,24701072,"DMA 711"
656,24701092,"DMA 656"
522,24700997,"DMA 522"
819,24701122,"DMA 819"
767,24700982,"DMA 767"
751,24701004,"DMA 751"
839,24701058,"DMA 839"
644,24700954,"DMA 644"
627,24701152,"DMA 627"
546,26821177,"DMA 546"
570,24701018,"DMA 570"
525,24700951,"DMA 525"
573,24701107,"DMA 573"
724,24701016,"DMA 724"
537,24700965,"DMA 537"
717,24701102,"DMA 717"
638,24701112,"DMA 638"
604,24701047,"DMA 604"
759,24700989,"DMA 759"
548,26821178,"DMA 548"
642,26821188,"DMA 642"
618,24701040,"DMA 618"
577,24701154,"DMA 577"
736,24700977,"DMA 736"
535,24700998,"DMA 535"
802,24701013,"DMA 802"
592,24701023,"DMA 592"
517,24700986,"DMA 517"
539,24701133,"DMA 539"
507,24701121,"DMA 507"
558,24701060,"DMA 558"
523,24700980,"DMA 523"
633,24701085,"DMA 633"
737,24701068,"DMA 737"
625,24700978,"DMA 625"
552,24701100,"DMA 552"
509,24701021,"DMA 509"
820,24701098,"DMA 820"
651,24701065,"DMA 651"
662,24701160,"DMA 662"
686,24701077,"DMA 686"
524,24700960,"DMA 524"
510,24700994,"DMA 510"
501,24701083,"DMA 501"
530,24701132,"DMA 530"
636,26821187,"DMA 636"
691,24701041,"DMA 691"
582,26821184,"DMA 582"
502,24700971,"DMA 502"
671,24701141,"DMA 671"
500,24701099,"DMA 500"
566,24701034,"DMA 566"
754,24700981,"DMA 754"
527,24701043,"DMA 527"
504,24701095,"DMA 504"
640,24701071,"DMA 640"
551,24701056,"DMA 551"
556,24701106,"DMA 556"
557,24701052,"DMA 557"
610,24701110,"DMA 610"
564,26821182,"DMA 564"
609,24701113,"DMA 609"
611,24701109,"DMA 611"
773,24701025,"DMA 773"
718,24701044,"DMA 718"
596,24701159,"DMA 596"
764,24701104,"DMA 764"
553,26821179,"DMA 553"
745,24701015,"DMA 745"
661,24701116,"DMA 661"
649,26821190,"DMA 649"
613,24701075,"DMA 613"
583,24700955,"DMA 583"
810,26821196,"DMA 810"
547,24701135,"DMA 547"
519,24700984,"DMA 519"
528,24701073,"DMA 528"
637,24700983,"DMA 637"
511,24701147,"DMA 511"
811,24701105,"DMA 811"
675,24701094,"DMA 675"
716,24700966,"DMA 716"
623,24701001,"DMA 623"
603,24701050,"DMA 603"
801,24701012,"DMA 801"
734,24701049,"DMA 734"
597,24701093,"DMA 597"
